	name	tla	home_helmet	home_logo	home_shirt	home_sleeve	home_pants	home_stripe	home_socks1	home_socks2	away_helmet	away_logo	away_shirt	away_sleeve	away_pants	away_stripe	away_socks1	away_socks2	alt_helmet	alt_logo	alt_shirt	alt_sleeve	alt_pants	alt_stripe	alt_socks1	alt_socks2	rush_helmet	rush_logo	rush_shirt	rush_sleeve	rush_pants	rush_stripe	rush_socks1	rush_socks2	roof	rainfall	snowfall	endzone
19	Redskins	WAS	$651c32	$ffb81c	$651c32	$ffb81c	$ffffff	$ffffff	$651c32	$651c32	$651c32	$ffb81c	$ffffff	$651c32	$651c32	$651c32	$7f364c	$7f364c	$651c32	$ffb81c	$651c32	$ffb81c	$651c32	$651c32	$7f364c	$7f364c	$18171a	$ffb81c	$010101	$ffb81c	$010101	$343434	$1a1a1a	$1a1a1a	0	43	13	$641313
20	Cardinals	ARI	$ffffff	$9b2743	$9b2743	$ffffff	$9b2743	$FFFFFF	$e6e6e6	$8c233c	$ffffff	$9b2743	$ffffff	$9b2743	$ffffff	$9b2743	$e6e6e6	$8c233c	$ffffff	$9b2743	$9b2743	$ffffff	$ffffff	$9b2743	$e6e6e6	$8c233c	$18171a	$9b2743	$010101	$010101	$ffffff	$010101	$1a1a1a	$1a1a1a	1	9	0	$a20000
21	Rams	LAR	$1e22aa	$ffd100	$1e22aa	$FFD100	$FFD100	$1e22aa	$1b1f99	$1b1f99	$1e22aa	$FFD100	$d7d2cb	$1e22aa	$1e22aa	$FFD100	$1b1f99	$1b1f99	$1e22aa	$ffd100	$ffffff	$FFD100	$FFD100	$1e22aa	$1b1f99	$1b1f99	$1e22aa	$ffd100	$1e22aa	$ffd100	$1e22aa	$ffd100	$1b1f99	$1b1f99	0	17	0	$0042B9
22	49ers	S.F	$89734c	$a6192e	$a6192e	$ffffff	$c6aa76	$a6192e	$e6e6e6	$951729	$89734c	$a6192e	$ffffff	$a6192e	$c6aa76	$a6192e	$e6e6e6	$951729	$89734c	$a6192e	$a6192e	$ffffff	$ffffff	$a6192e	$e6e6e6	$e6e6e6	$89734c	$a6192e	$ffffff	$a6192e	$ffffff	$a6192e	$e6e6e6	$e6e6e6	0	24	0	$a60303
23	Seahawks	SEA	$c000	$fafa00	$c000	$fafa00	$c000	$fafa00	$ffffff	$fafa00	$c000	$fafa00	$ffffff	$c000	$ffffff	$c000	$fafa00	$c000	$000000	$fafa00	$000000	$c000	$000000	$c000	$c000	$ffffff	$0c2340	$7c878e	$78be21	$0c2340	$78be21	$0c2340	$6cab1e	$6cab1e	0	37	5	$c000
24	Bears	CHI	$091f2c	$dc4405	$091f2c	$dc4405	$ffffff	$dc4405	$e6e6e6	$091f2c	$091f2c	$dc4405	$ffffff	$dc4405	$091f2c	$dc4405	$e6e6e6	$c63d05	$0c2340	$e35205	$ffffff	$0c2340	$0c2340	$0c2340	$0b203a	$e35205	$ff2300	$0c2340	$fb4900	$0c2340	$ffffff	$0c2340	$0b203a	$fb4900	0	38	35	$283166
25	Lions	DET	$a9a9a9	$0076B6	$0076B6	$ffffff	$0076B6	$0076B6	$ffffff	$0076B6	$a9a9a9	$0076B6	$ffffff	$0076B6	$ffffff	$ffffff	$0076B6	$0076B6	$000000	$0076B6	$000000	$0076B6	$000000	$0076B6	$000000	$000000	$87909a	$0069b1	$545859	$0069b1	$545859	$545859	$4c4f50	$4c4f50	1	39	32	$0093E4
26	Packers	G.B	$ffb81c	$183029	$183029	$ffb81c	$ffb81c	$183029	$e6e6e6	$162b25	$ffb81c	$183029	$ffffff	$183029	$ffb81c	$183029	$e6e6e6	$162b25	$ac916b	$ac916b	$ffb81c	$183029	$183029	$ffb81c	$324a43	$ffd236	$ffb81c	$ffb81c	$183029	$ffb81c	$183029	$ffb81c	$162b25	$162b25	0	30	48	$385022
27	Vikings	MIN	$582c83	$ffffff	$582c83	$ffc72c	$ffffff	$582c83	$e6e6e6	$4f2876	$582c83	$ffffff	$ffffff	$ffc72c	$582c83	$ffc72c	$4f2876	$4f2876	$582c83	$ffffff	$ffffff	$ffc72c	$ffffff	$582c83	$e6e6e6	$4f2876	$582c83	$ffffff	$582c83	$ffc72c	$582c83	$ffc72c	$4f2876	$4f2876	1	32	53	$731995
28	Falcons	ATL	$010101	$a6192e	$010101	$010101	$ffffff	$a6192e	$1a1a1a	$1a1a1a	$010101	$a6192e	$FFFFFF	$FFFFFF	$010101	$a6192e	$1a1a1a	$1a1a1a	$a6192e	$010101	$010101	$010101	$ffffff	$a6192e	$e6e6e6	$951729	$010101	$a6192e	$a6192e	$a6192e	$010101	$a6192e	$1a1a1a	$1a1a1a	1	51	1	$c80000
29	Panthers  CAR	$69bfee	$ffffff	$69bfee	$ffffff	$ffffff	$69bfee	$69bfee	$ffffff	$69bfee	$ffffff	$ffffff	$69bfee	$69bfee	$69bfee	$ffffff	$ffffff	$69bfee	$ffffff	$69bfee	$69bfee	$69bfee	$ffffff	$69bfee	$69bfee	$000000	$69bfee	$000000	$ffffff	$000000	$69bfee	$000000	$000000	0	44	2	$69bfee
30	Saints	N.O	$a28d58	$010101	$010101	$d3bc8d	$d3bc8d	$010101	$1a1a1a	$1a1a1a	$a28d5b	$010101	$ffffff	$ffffff	$d3bc8d	$010101	$1a1a1a	$1a1a1a	$18171a	$d3bc8d	$ffffff	$d3bc8d	$ffffff	$010101	$1a1a1a	$1a1a1a	$a28d5b	$010101	$010101	$010101	$010101	$010101	$1a1a1a	$1a1a1a	1	63	0	$000000
31	Tampa Bay	T.B	$433d37	$a6192e	$a6192e	$3d3935	$ffffff	$a6192e	$e6e6e6	$010101	$433d37	$a6192e	$ffffff	$3d3935	$3d3935	$a6192e	$e6e6e6	$010101	$ffffff	$c8102e	$ff8200	$ffffff	$ffffff	$ff8200	$e6e6e6	$e67500	$433d37	$a6192e	$a6192e	$3d3935	$3d3935	$a6192e	$e6e6e6	$010101	0	50	0	$B80722
